Year,Player Name,Round,Date,Opponent,Result,D,G,B
2021,Caleb Daniel,11,28/05/2021,Demons,Loss 59-87,26,1,0
2023,Bailey Dale,1,18/03/2023,Demons,Loss 65-115,19,0,0
2022,Bailey Dale,19,23/07/2022,Demons,Win 110-100,27,0,1
2022,Bailey Dale,1,16/03/2022,Demons,Loss 71-97,25,1,0
2021,Bailey Dale,Grand Final,25/09/2021,Demons,Loss 66-140,21,0,0
2021,Bailey Dale,19,24/07/2021,Demons,Win 85-65,24,0,0
2021,Bailey Dale,11,28/05/2021,Demons,Loss 59-87,30,0,0
2023,Bailey Smith,1,18/03/2023,Demons,Loss 65-115,27,0,1
2022,Bailey Smith,19,23/07/2022,Demons,Win 110-100,28,0,1
2022,Bailey Smith,1,16/03/2022,Demons,Loss 71-97,33,0,1
2021,Bailey Smith,Grand Final,25/09/2021,Demons,Loss 66-140,26,0,1
2021,Bailey Smith,19,24/07/2021,Demons,Win 85-65,26,1,1
2021,Bailey Smith,11,28/05/2021,Demons,Loss 59-87,27,0,0
2023,Ed Richards,1,18/03/2023,Demons,Loss 65-115,27,0,0
2022,Ed Richards,19,23/07/2022,Demons,Win 110-100,24,0,0
2022,Ed Richards,1,16/03/2022,Demons,Loss 71-97,14,0,0
2021,Ed Richards,19,24/07/2021,Demons,Win 85-65,11,0,0
2023,Jason Johannisen,1,18/03/2023,Demons,Loss 65-115,6,1,0
2022,Jason Johannisen,19,23/07/2022,Demons,Win 110-100,11,0,0
2021,Jason Johannisen,Grand Final,25/09/2021,Demons,Loss 66-140,12,1,0
2021,Jason Johannisen,19,24/07/2021,Demons,Win 85-65,9,0,0
2021,Jason Johannisen,11,28/05/2021,Demons,Loss 59-87,8,0,0
2023,Bailey Williams,1,18/03/2023,Demons,Loss 65-115,18,1,0
2022,Bailey Williams,19,23/07/2022,Demons,Win 110-100,9,0,0
2022,Bailey Williams,1,16/03/2022,Demons,Loss 71-97,16,0,0
2021,Bailey Williams,Grand Final,25/09/2021,Demons,Loss 66-140,13,0,0
2021,Bailey Williams,19,24/07/2021,Demons,Win 85-65,13,0,0
2021,Bailey Williams,11,28/05/2021,Demons,Loss 59-87,18,0,0
2023,Aaron Naughton,1,18/03/2023,Demons,Loss 65-115,11,1,2
2022,Aaron Naughton,19,23/07/2022,Demons,Win 110-100,9,2,0
2022,Aaron Naughton,1,16/03/2022,Demons,Loss 71-97,14,4,1
2021,Aaron Naughton,Grand Final,25/09/2021,Demons,Loss 66-140,9,1,0
2021,Aaron Naughton,19,24/07/2021,Demons,Win 85-65,9,2,1
2021,Aaron Naughton,11,28/05/2021,Demons,Loss 59-87,14,1,1
2023,Lachlan Bramble,9,13/05/2023,Demons,Loss 49-103,14,0,0
2022,Lachlan Bramble,7,30/04/2022,Demons,Loss 81-91,8,0,1
2021,Lachlan Bramble,18,17/07/2021,Demons,Draw 79-79,18,0,0
2023,Oskar Baker,1,18/03/2023,Demons,Loss 65-115,13,1,0
2023,Jamarra Ugle-Hagan,1,18/03/2023,Demons,Loss 65-115,7,1,3
2022,Jamarra Ugle-Hagan,19,23/07/2022,Demons,Win 110-100,10,5,0
2021,Jamarra Ugle-Hagan,19,24/07/2021,Demons,Win 85-65,5,1,0
2023,Rory Lobb,1,18/03/2023,Demons,Loss 65-115,6,0,0
2022,Rory Lobb,20,29/07/2022,Demons,Loss 39-85,8,0,0
2022,Rory Lobb,11,28/05/2022,Demons,Win 94-56,15,3,1
2022,Cody Weightman,19,23/07/2022,Demons,Win 110-100,9,2,0
2022,Cody Weightman,1,16/03/2022,Demons,Loss 71-97,5,1,0
2021,Cody Weightman,Grand Final,25/09/2021,Demons,Loss 66-140,7,0,0
2021,Cody Weightman,19,24/07/2021,Demons,Win 85-65,8,1,0
2021,Cody Weightman,11,28/05/2021,Demons,Loss 59-87,10,1,1
2021,Caleb Poulter,13,14/06/2021,Demons,Win 80-63,16,0,2
2022,Laitham Vandermeer,1,16/03/2022,Demons,Loss 71-97,17,0,0
2022,Rhylee West,19,23/07/2022,Demons,Win 110-100,11,1,0
2023,Alex Keath,1,18/03/2023,Demons,Loss 65-115,9,0,0
2022,Alex Keath,19,23/07/2022,Demons,Win 110-100,13,0,0
2022,Alex Keath,1,16/03/2022,Demons,Loss 71-97,9,0,0
2021,Alex Keath,Grand Final,25/09/2021,Demons,Loss 66-140,13,0,0
2021,Alex Keath,19,24/07/2021,Demons,Win 85-65,0,0,0
2021,Alex Keath,11,28/05/2021,Demons,Loss 59-87,8,0,0
2023,Taylor Duryea,1,18/03/2023,Demons,Loss 65-115,11,0,0
2021,Taylor Duryea,Grand Final,25/09/2021,Demons,Loss 66-140,16,0,0
2021,Taylor Duryea,19,24/07/2021,Demons,Win 85-65,17,0,0
2021,Taylor Duryea,11,28/05/2021,Demons,Loss 59-87,15,0,0
2023,Anthony Scott,1,18/03/2023,Demons,Loss 65-115,13,0,0
2021,Anthony Scott,19,24/07/2021,Demons,Win 85-65,4,0,0
2023,Liam Jones,1,18/03/2023,Demons,Loss 65-115,1,0,0
