Year,Player Name,Round,Date,Opponent,Result,D,G,B
2022,Toby Greene,20,30/07/2022,Swans,Loss 39-112,11,2,2
2021,Toby Greene,Elimination Final,28/08/2021,Swans,Win 74-73,10,3,1
2021,Toby Greene,5,17/04/2021,Swans,Win 71-69,18,1,7
2023,Lachie Ash,21,05/08/2023,Swans,Loss 85-96,28,0,1
2023,Lachie Ash,7,29/04/2023,Swans,Win 107-106,24,0,0
2022,Lachie Ash,20,30/07/2022,Swans,Loss 39-112,10,0,0
2022,Lachie Ash,1,19/03/2022,Swans,Loss 92-112,8,0,0
2021,Lachie Ash,Elimination Final,28/08/2021,Swans,Win 74-73,18,0,0
2021,Lachie Ash,5,17/04/2021,Swans,Win 71-69,18,0,0
2023,Finn Callaghan,7,29/04/2023,Swans,Win 107-106,26,0,0
2023,Jesse Hogan,21,05/08/2023,Swans,Loss 85-96,14,2,1
2023,Jesse Hogan,7,29/04/2023,Swans,Win 107-106,9,2,0
2022,Jesse Hogan,20,30/07/2022,Swans,Loss 39-112,12,1,1
2021,Jesse Hogan,Elimination Final,28/08/2021,Swans,Win 74-73,10,2,2
2021,Jesse Hogan,18,18/07/2021,Swans,Loss 72-98,12,2,0
2023,Harry Himmelberg,21,05/08/2023,Swans,Loss 85-96,22,0,0
